part_file,normal_x,normal_y,normal_z,plane_offset_mm,patch_area_mm2,n_triangles,bbox_u_mm,bbox_v_mm,fill_ratio,largest_inscribed_square_mm,square1_cx_mm,square1_cy_mm,square1_cz_mm,second_square_mm,square2_cx_mm,square2_cy_mm,square2_cz_mm,pair_baseline_mm,centroid_x_mm,centroid_y_mm,centroid_z_mm
Alt_Govde.stl,0.9161,0.4010,0.0003,59.91,75.8,10,7.00,10.82,1.001,7.60,54.17,25.64,-6.20,1.20,56.90,19.42,-9.40,7.52,54.82,24.17,-6.50
Alt_Govde.stl,-0.9144,0.4048,0.0000,59.91,75.8,10,7.00,10.82,1.001,7.60,-54.17,25.64,-6.80,1.20,-56.92,19.42,-3.60,7.52,-54.82,24.17,-6.50
Alt_Govde.stl,-0.9144,-0.4048,0.0000,59.91,75.8,10,7.00,10.82,1.001,7.60,-55.47,-22.70,-6.80,1.20,-52.72,-28.92,-3.60,7.52,-54.82,-24.17,-6.50
Alt_Govde.stl,0.9161,-0.4010,0.0002,59.91,75.8,10,7.00,10.82,1.001,7.60,54.98,-23.80,-6.20,0.00,0.00,0.00,0.00,0.00,54.82,-24.17,-6.50
Alt_Govde.stl,-0.6331,-0.7740,0.0000,59.91,75.8,10,7.00,10.82,1.001,7.60,-36.71,-47.37,-6.20,1.20,-41.97,-43.07,-9.40,7.52,-37.96,-46.36,-6.50
Alt_Govde.stl,0.6350,0.7725,-0.0002,59.91,75.8,10,7.00,10.82,1.001,7.60,39.20,45.33,-6.80,1.20,33.95,49.65,-3.60,7.52,37.96,46.36,-6.50
Alt_Govde.stl,0.6350,-0.7725,-0.0002,59.91,75.8,10,7.00,10.82,1.001,7.60,38.27,-46.10,-6.20,0.00,0.00,0.00,0.00,0.00,37.96,-46.36,-6.50
Alt_Govde.stl,-0.6331,0.7740,0.0000,59.91,75.8,10,7.00,10.82,1.001,7.60,-36.71,47.37,-6.80,1.20,-41.97,43.07,-3.60,7.52,-37.96,46.36,-6.50
Alt_Govde.stl,0.7628,-0.6467,0.0002,59.91,75.8,10,7.00,10.82,1.001,7.60,46.70,-37.56,-6.20,1.20,42.31,-42.75,-9.40,7.52,45.66,-38.79,-6.50
Alt_Govde.stl,0.7627,0.6467,0.0002,59.91,75.8,10,7.00,10.82,1.001,7.60,45.93,38.47,-6.80,0.00,0.00,0.00,0.00,0.00,45.66,38.79,-6.50
Alt_Govde.stl,-0.7622,0.6474,0.0000,59.91,75.8,10,7.00,10.82,1.001,7.60,-44.62,40.01,-6.80,1.20,-49.02,34.83,-3.60,7.52,-45.66,38.79,-6.50
Alt_Govde.stl,-0.7622,-0.6474,0.0000,59.91,75.8,10,7.00,10.82,1.001,7.60,-44.62,-40.01,-6.20,1.20,-49.02,-34.83,-9.40,7.52,-45.66,-38.79,-6.50
Alt_Govde.stl,-0.4515,0.8923,0.0000,59.91,75.8,10,7.00,10.82,1.001,7.60,-25.67,54.16,-6.80,1.20,-31.73,51.09,-3.60,7.52,-27.10,53.43,-6.50
Alt_Govde.stl,-0.4515,-0.8923,0.0000,59.91,75.8,10,7.00,10.82,1.001,7.60,-25.67,-54.16,-6.20,1.20,-31.73,-51.09,-9.40,7.52,-27.10,-53.43,-6.50
Alt_Govde.stl,0.4481,0.8940,0.0001,59.91,75.8,10,7.00,10.82,1.001,7.60,27.47,53.25,-6.80,0.00,0.00,0.00,0.00,0.00,27.10,53.43,-6.50
Alt_Govde.stl,0.4481,-0.8940,0.0001,59.91,75.8,10,7.00,10.82,1.001,7.60,28.54,-52.71,-6.20,1.20,22.46,-55.76,-9.40,7.52,27.10,-53.43,-6.50
